2025-11-19T11:39:21.000000000Z [inf]  Starting Container
2025-11-19T11:39:22.624043857Z [err]  npm warn config production Use `--omit=dev` instead.
2025-11-19T11:39:22.624069617Z [inf]  
2025-11-19T11:39:22.624077751Z [inf]  > rest-express@1.0.0 start
2025-11-19T11:39:22.624083886Z [inf]  > NODE_ENV=production node dist/index.js
2025-11-19T11:39:22.624090084Z [inf]  
2025-11-19T11:39:23.191079837Z [inf]  ISO-AI sample data initialized
2025-11-19T11:39:23.192331979Z [inf]  [CACHE] Starting cache warm-up...
2025-11-19T11:39:23.192337818Z [inf]  [CACHE] Cache warm-up completed
2025-11-19T11:39:23.196230731Z [inf]  🔄 Real Data Display routes initializing...
2025-11-19T11:39:23.204261917Z [inf]  Security systems ready - migrations available via API
2025-11-19T11:39:23.204268825Z [inf]  ISO-AI initialization skipped - manual setup available
2025-11-19T11:39:23.204275593Z [inf]  📋 PreApplications router mounted at /api/preapplications
2025-11-19T11:39:23.596911628Z [inf]  [SECURITY] Security middleware initialized
2025-11-19T11:39:23.596922565Z [inf]  [MONITORING] Application monitoring active
2025-11-19T11:39:23.596930753Z [inf]  [CACHE] Cache service ready
2025-11-19T11:39:23.596942966Z [inf]  [OAuth Cleanup] Started periodic cleanup job (runs every hour)
2025-11-19T11:39:23.596968340Z [inf]  11:39:23 AM [express] 🔒 Secure ISO Hub server running on port 8080
2025-11-19T11:39:23.596975893Z [inf]  11:39:23 AM [express] 🔍 Health check: http://localhost:8080/health
2025-11-19T11:39:23.596982698Z [inf]  11:39:23 AM [express] 📊 Metrics: http://localhost:8080/metrics
2025-11-19T11:39:43.244689979Z [inf]  🔗 Personalized URL accessed: /assets/index-6xMbUkvr.js
2025-11-19T11:39:43.244697447Z [inf]  ✅ Valid personalized URL, redirecting to form
2025-11-19T11:39:43.244705742Z [inf]  🔗 Personalized URL accessed: /assets/index-6rJrHJul.css
2025-11-19T11:39:43.244715083Z [inf]  ✅ Valid personalized URL, redirecting to form
