2025-12-03T05:29:42.000000000Z [inf]  Starting Container
2025-12-03T05:29:44.312425803Z [err]  npm warn config production Use `--omit=dev` instead.
2025-12-03T05:29:44.312436842Z [inf]  
2025-12-03T05:29:44.312445013Z [inf]  > rest-express@1.0.0 start
2025-12-03T05:29:44.312452909Z [inf]  > NODE_ENV=production node dist/index.js
2025-12-03T05:29:44.312461991Z [inf]  [Startup] Running data integrity check...
2025-12-03T05:29:44.312476448Z [inf]  [Startup] Current status: healthy
2025-12-03T05:29:44.312477412Z [inf]  📁 Looking for migrations in: /migrations
2025-12-03T05:29:44.312487894Z [inf]  [Startup] Organizations: 2, Missing required: 0
2025-12-03T05:29:44.312488100Z [inf]  📁 No migrations directory found, skipping migrations
2025-12-03T05:29:44.312498044Z [inf]  Security systems ready - migrations available via API
2025-12-03T05:29:44.312498494Z [inf]  [Startup] All required organizations present, no seeding needed
2025-12-03T05:29:44.312504894Z [inf]  
2025-12-03T05:29:44.312504976Z [inf]  ISO-AI initialization skipped - manual setup available
2025-12-03T05:29:44.312506380Z [inf]  [Startup] Demo data check: 0 merchants, 0 monthly records
2025-12-03T05:29:44.312514624Z [inf]  [Startup] Demo data appears empty, seeding...
2025-12-03T05:29:44.312522414Z [inf]  🌱 Starting demo data seed...
2025-12-03T05:29:44.312529546Z [inf]  ISO-AI sample data initialized
2025-12-03T05:29:44.312532326Z [inf]  📦 Creating demo processors...
2025-12-03T05:29:44.312541025Z [inf]  ✅ 9 processors ready
2025-12-03T05:29:44.312544696Z [inf]  🔄 Real Data Display routes initializing...
2025-12-03T05:29:44.312549917Z [err]  ❌ Demo data seed failed: error: column "branch_id" does not exist
2025-12-03T05:29:44.312555585Z [inf]  🔄 Starting database migrations...
2025-12-03T05:29:44.312558864Z [err]      at /app/node_modules/pg-pool/index.js:45:11
2025-12-03T05:29:44.312564646Z [err]      at process.processTicksAndRejections (node:internal/process/task_queues:95:5)
2025-12-03T05:29:44.315106914Z [err]      at async file:///app/node_modules/drizzle-orm/node-postgres/session.js:83:22
2025-12-03T05:29:44.315107591Z [inf]  📋 PreApplications router mounted at /api/preapplications
2025-12-03T05:29:44.315118384Z [err]      at async seedDemoData (file:///app/dist/index.js:4076:31)
